feature,OFF_RATING_corr,DEF_RATING_corr,season
FGM,0.6121661135083786,-0.1839718058704705,2012-13
FGA,-0.4673029743171411,0.27155451529377783,2012-13
FG_PCT,0.7673289679674451,-0.31925696601072534,2012-13
FG3M,0.6394089979618188,0.033858058572573776,2012-13
FG3A,0.5713858737579703,0.11849034493154723,2012-13
FG3_PCT,0.5175653134849575,-0.22496371283063452,2012-13
FTM,0.5254294156274528,-0.14600719602736092,2012-13
FTA,0.487602992596208,-0.1022196498719682,2012-13
FT_PCT,0.10827366267095384,-0.09792472507567845,2012-13
OREB,-0.1779736526014239,0.088795094005539,2012-13
DREB,0.1500752681609729,-0.6238126443650851,2012-13
REB,-0.05029448857241984,-0.3580976342464838,2012-13
AST,0.11991234013580958,-0.3727827742428967,2012-13
TOV,-0.044333362058104606,-0.11378459852478344,2012-13
STL,0.46610106741557844,-0.4247889300838029,2012-13
BLK,0.19696555082668293,-0.3453367452717908,2012-13
BLKA,-0.33380886882161015,0.36779881930740155,2012-13
PF,-0.026413914390625733,0.09143245397040105,2012-13
PFD,0.33441776147258645,-0.18758723832628635,2012-13
PTS,1.0,-0.18964681850154444,2012-13
PLUS_MINUS,0.8044723997329827,-0.7348627686450246,2012-13
AST_PCT,-0.21763487840334853,-0.3527641474041263,2012-13
AST_TO,0.13397694280699987,-0.22292531652608666,2012-13
AST_RATIO,0.16166102424389625,-0.37689075886245144,2012-13
OREB_PCT,-0.012442517299189732,0.10921328291087867,2012-13
DREB_PCT,0.03405364047453564,-0.312677934988943,2012-13
REB_PCT,0.28287336422706555,-0.2943396424139022,2012-13
TM_TOV_PCT,-0.04433336205810457,-0.11378459852478282,2012-13
EFG_PCT,0.8487598012901681,-0.2405426133499016,2012-13
TS_PCT,0.8850577923753908,-0.26263835520575474,2012-13
E_PACE,0.12587371234808217,0.07843715123073675,2012-13
PACE,0.10617582145744062,0.07291972908525421,2012-13
PACE_PER40,0.10691226441274242,0.07293764615332489,2012-13
POSS,0.1335637820938621,0.0818956230912737,2012-13
PIE,0.7110249537774685,-0.7953885498766472,2012-13
PTS_OFF_TOV,0.5893969225707688,-0.37034078888800637,2012-13
PTS_2ND_CHANCE,-0.0873535631470027,0.22599170677817174,2012-13
PTS_FB,0.17294408846099577,-0.12319016644315689,2012-13
PTS_PAINT,0.32383051053725975,-0.007775960208631506,2012-13
OPP_PTS_OFF_TOV,-0.20854867746310327,0.40437457140099775,2012-13
OPP_PTS_2ND_CHANCE,0.13696169280170226,0.2704337864617258,2012-13
OPP_PTS_FB,-0.10432655523958881,0.5418368197948147,2012-13
OPP_PTS_PAINT,-0.2536976641976473,0.7510376436021207,2012-13
FTA_RATE,0.5282159758801331,-0.13779113804667453,2012-13
OPP_EFG_PCT,-0.18405636782951662,0.9117790478030257,2012-13
OPP_FTA_RATE,-0.09075374992299055,0.16718628452614367,2012-13
OPP_TOV_PCT,0.2274909584685898,-0.35220163707625085,2012-13
OPP_OREB_PCT,-0.034053640474534935,0.3126779349889435,2012-13
PCT_FGA_2PT,-0.6096323412992325,-0.0725429319208936,2012-13
PCT_FGA_3PT,0.6096323412992319,0.072542931920894,2012-13
PCT_PTS_2PT,-0.629319175444683,-0.028969010953401545,2012-13
PCT_PTS_2PT_MR,-0.6309036219582758,-0.08817679998838863,2012-13
PCT_PTS_3PT,0.5287928228173386,0.07789712866761761,2012-13
PCT_PTS_FB,0.023219487250457565,-0.09263551581661511,2012-13
PCT_PTS_FT,0.2742059718119186,-0.09951984768729297,2012-13
PCT_PTS_OFF_TOV,0.28136167862034756,-0.360948793387415,2012-13
PCT_PTS_PAINT,-0.007947829675639466,0.05858234924742956,2012-13
PCT_AST_2PM,-0.4228366122555236,-0.24627243083956288,2012-13
PCT_UAST_2PM,0.4228366122555235,0.2462724308395627,2012-13
PCT_AST_3PM,0.06152049543785147,-0.3713907572698238,2012-13
PCT_UAST_3PM,-0.06152049543785158,0.37139075726982407,2012-13
PCT_AST_FGM,-0.21763487840334853,-0.3527641474041263,2012-13
PCT_UAST_FGM,0.21763487840334836,0.3527641474041272,2012-13
OPP_FGM,-0.2764139433348373,0.8289317749470426,2012-13
OPP_FGA,0.005165177010226643,0.019925354585837333,2012-13
OPP_FG_PCT,-0.29987998234291285,0.872481739262442,2012-13
OPP_FG3M,0.24875589579453425,0.5506239380351431,2012-13
OPP_FG3A,0.3462385830023643,0.38949332588982005,2012-13
OPP_FG3_PCT,-0.07080206641359947,0.5678236554320922,2012-13
OPP_FTM,-0.04868723087959908,0.2160017292554578,2012-13
OPP_FTA,-0.11136625143825876,0.20161899583110574,2012-13
OPP_FT_PCT,0.24170210263574973,0.0602048381578211,2012-13
OPP_OREB,-0.05789511474730651,0.019974768490701837,2012-13
OPP_DREB,-0.7104368743247366,0.28144040628584027,2012-13
OPP_REB,-0.7032534472243346,0.2888101891084311,2012-13
OPP_AST,-0.3152741445723295,0.8131160564693869,2012-13
OPP_TOV,0.2048774599950228,-0.3506683084378122,2012-13
OPP_STL,0.053141291900174754,-0.07375093858472613,2012-13
OPP_BLK,-0.33380886882161015,0.36779881930740155,2012-13
OPP_BLKA,0.19696555082668293,-0.3453367452717908,2012-13
OPP_PF,0.33441776147258645,-0.18758723832628635,2012-13
OPP_PFD,-0.026413914390625733,0.09143245397040105,2012-13
OPP_PTS,-0.20532920192496104,0.9983951650274434,2012-13
FGM,0.6781651597427317,-0.18657224305995077,2013-14
FGA,-0.24556372597010645,0.17474802435692052,2013-14
FG_PCT,0.7587736357915333,-0.27059825819499533,2013-14
FG3M,0.5433582048807103,-0.06636581774369538,2013-14
FG3A,0.4548525024662593,0.02843098303372431,2013-14
FG3_PCT,0.5114235290215822,-0.2747951255852375,2013-14
FTM,0.447063875370663,-0.1287715201710036,2013-14
FTA,0.33910071379324624,-0.009747064129295838,2013-14
FT_PCT,0.2763094815336443,-0.306006316514395,2013-14
OREB,-0.13492804166840114,0.2226767468901647,2013-14
DREB,0.15164905204254595,-0.7640359198807807,2013-14
REB,0.006546759470511956,-0.38637446718992796,2013-14
AST,0.2716711985737282,-0.3309151080146655,2013-14
TOV,-0.37583897268096556,0.013867887053970483,2013-14
STL,0.16123648333630922,0.06122261429466419,2013-14
BLK,0.1493432661434166,-0.23532693012997813,2013-14
BLKA,-0.6437719018911945,0.17986898796644696,2013-14
PF,-0.060146597984807156,0.2579674632644715,2013-14
PFD,0.3247876436108715,-0.14337557688256358,2013-14
PTS,1.0,-0.24063041327631673,2013-14
PLUS_MINUS,0.8083758401888301,-0.7650843097303213,2013-14
AST_PCT,-0.03592517594603477,-0.26461550118673705,2013-14
AST_TO,0.39206005289050505,-0.22485016576592823,2013-14
AST_RATIO,0.28774552084573835,-0.32453375639061405,2013-14
OREB_PCT,-0.050762354892591365,0.06515998414012597,2013-14
DREB_PCT,0.028110301954618,-0.6093658896821164,2013-14
REB_PCT,0.1771713441978544,-0.4672460696666864,2013-14
TM_TOV_PCT,-0.37583897268096644,0.01386788705397025,2013-14
EFG_PCT,0.7914191067484357,-0.24181315394320788,2013-14
TS_PCT,0.8410488639692549,-0.29105343892028523,2013-14
E_PACE,0.07813787421035785,0.13604455619769906,2013-14
PACE,0.11201164236729524,0.15728482107974048,2013-14
PACE_PER40,0.11176797278331797,0.15787536218008455,2013-14
POSS,0.106880070901491,0.13668692691886106,2013-14
PIE,0.7423071867716324,-0.8052770780965824,2013-14
PTS_OFF_TOV,0.3537309365703777,-0.08371950920829192,2013-14
PTS_2ND_CHANCE,0.0045939034887740185,0.11290952688297175,2013-14
PTS_FB,0.27071762745260497,0.12799432991040732,2013-14
PTS_PAINT,0.13920099683498804,0.1152018793474287,2013-14
OPP_PTS_OFF_TOV,-0.2715681088718427,0.4414589120002963,2013-14
OPP_PTS_2ND_CHANCE,0.14787924241826172,0.48689615273334125,2013-14
OPP_PTS_FB,-0.2088009243704337,0.5444477197502248,2013-14
OPP_PTS_PAINT,0.16715771695198064,0.6592521181526021,2013-14
FTA_RATE,0.3635877182050293,-0.044000658411850684,2013-14
OPP_EFG_PCT,-0.2463031747499158,0.8856630843594792,2013-14
OPP_FTA_RATE,-0.04459097298677306,0.47779006667507395,2013-14
OPP_TOV_PCT,0.12152363367772301,-0.06853517142358269,2013-14
OPP_OREB_PCT,-0.02811030195461854,0.6093658896821149,2013-14
PCT_FGA_2PT,-0.4649160802241259,0.006042148234958284,2013-14
PCT_FGA_3PT,0.46491608022412595,-0.006042148234957941,2013-14
PCT_PTS_2PT,-0.459979290736002,0.05264264717003084,2013-14
PCT_PTS_2PT_MR,-0.24640355057943128,-0.16890752196560296,2013-14
PCT_PTS_3PT,0.3915871874515467,-0.017958762143340447,2013-14
PCT_PTS_FB,0.12152131206227043,0.18218411764831285,2013-14
PCT_PTS_FT,0.16657624246900554,-0.06572905740970214,2013-14
PCT_PTS_OFF_TOV,0.014872757496261216,-0.0005494793093156512,2013-14
PCT_PTS_PAINT,-0.18078598908164642,0.19870636050699325,2013-14
PCT_AST_2PM,-0.1401504150608754,-0.2901153416109745,2013-14
PCT_UAST_2PM,0.1401504150608749,0.29011534161097446,2013-14
PCT_AST_3PM,-0.14312000924465473,0.050649407332902706,2013-14
PCT_UAST_3PM,0.14312000924465418,-0.050649407332903004,2013-14
PCT_AST_FGM,-0.03592517594603477,-0.26461550118673705,2013-14
PCT_UAST_FGM,0.035925175946035164,0.2646155011867366,2013-14
OPP_FGM,-0.22682949804843477,0.7616217824787286,2013-14
OPP_FGA,0.004419090351799663,-0.1693131557105159,2013-14
OPP_FG_PCT,-0.2374587763562323,0.8793929565970289,2013-14
OPP_FG3M,-0.17562357539645737,0.5181841545956387,2013-14
OPP_FG3A,-0.052508712934387164,0.4053516816015094,2013-14
OPP_FG3_PCT,-0.42124476878503436,0.6027340612092599,2013-14
OPP_FTM,-0.06581158141219697,0.5153054457355903,2013-14
OPP_FTA,-0.051852167156355065,0.5102803063480487,2013-14
OPP_FT_PCT,-0.06250597346603591,-0.042850376059163926,2013-14
OPP_OREB,0.1624507800849758,0.3238848717646245,2013-14
OPP_DREB,-0.6780633483871786,0.3478526705874091,2013-14
OPP_REB,-0.5404880757003591,0.4700757161556645,2013-14
OPP_AST,-0.3720858130537234,0.6916996683631651,2013-14
OPP_TOV,0.11707228341902798,-0.05902996696193239,2013-14
OPP_STL,-0.06736501594860585,0.21617252721032157,2013-14
OPP_BLK,-0.6437719018911945,0.17986898796644696,2013-14
OPP_BLKA,0.1493432661434166,-0.23532693012997813,2013-14
OPP_PF,0.3247876436108715,-0.14337557688256358,2013-14
OPP_PFD,-0.060146597984807156,0.2579674632644715,2013-14
OPP_PTS,-0.25677854887095,0.9981940098415039,2013-14
FGM,0.8092049718301964,-0.2938236395653654,2014-15
FGA,0.12416601279930856,0.03804387303285546,2014-15
FG_PCT,0.7711322565542786,-0.33083765218056743,2014-15
FG3M,0.5963645897885396,-0.36174732308404667,2014-15
